10000	"RESULTATOPGØRELSE"	"Hovedoverskrift"			
11000	"OMSÆTNING"	"Overskrift"			
11010	"Varesalg Indland - vare 1"	"Drift"			"Salg"
11020	"Varesalg Indland - vare 2"	"Drift"			"Salg"
11030	"Varesalg Indland - vare 3"	"Drift"			"Salg"
11040	"Varesalg Indland - diverse"	"Drift"			"Salg"
11110	"Varesalg EU - vare 1"	"Drift"			
11120	"Varesalg EU - vare 2"	"Drift"			
11140	"Varesalg EU - diverse"	"Drift"			
11210	"Varesalg andre lande - vare 1"	"Drift"			
11220	"Varesalg andre lande - vare 2"	"Drift"			
11230	"Varesalg andre lande - vare 3"	"Drift"			
11240	"Varesalg andre lande - diverse"	"Drift"			
11440	"Varesalg diverse"	"Drift"			
11450	"Afgivne rabatter"	"Drift"			
11600	"Gebyr før moms"	"Drift"			"Salg"
11610	"Gebyr efter moms"	"Drift"			
11797	"OMSÆTNING I ALT"	"Total"	10000		
12000	"VAREFORBRUG"	"Overskrift"			
12010	"Vareforbrug"	"Drift"			"Køb"
12020	"Varekøb specialvarer"	"Drift"			"Køb"
12030	"Vareforbrug diverse"	"Drift"			"Køb"
12310	"Fragt"	"Drift"			
12400	"Tab / Vind lager"	"Drift"			
12410	"Regulering varelager"	"Drift"			
12420	"Modtagne rabatter"	"Drift"			
12450	"Gebyr før moms"	"Drift"			"Køb"
12460	"Gebyr efter moms"	"Drift"			
12497	"VAREFORBRUG I ALT"	"Total"	12000		
12498	"DÆKNINGSBIDRAG I"	"Total"	10000		
12500	"PROVISION"	"Overskrift"			
12510	"Provisionsindtægter"	"Drift"			
12520	"Bonusindtægter"	"Drift"			
12597	"PROVISION I ALT"	"Total"	12500		
13499	"DÆKNINGSBIDRAG II"	"Total"	10000		
13500	"AUTODRIFT"	"Overskrift"			
13510	"Brændstof og olie"	"Drift"			"Køb"
13520	"Vægtafgift"	"Drift"			
13530	"Forsikringer"	"Drift"			
13540	"Reparation og vedligeholdelse"	"Drift"			"Køb"
13599	"AUTODRIFT I ALT"	"Total"	13500		
13600	"MARKEDSFØRINGSOMKOSTNINGER"	"Overskrift"			
13610	"Annoncer og reklamer"	"Drift"			"Køb"
13620	"Repræsentation, vin og tobak"	"Drift"			
13630	"Repræsentation, gaver og blomster"	"Drift"			
13640	"Rejseudgifter"	"Drift"			
13650	"Restaurantbesøg"	"Drift"			
13660	"Færgebillet og brobillet"	"Drift"			"Køb"
13699	"MARKEDSFØRINGSOMKOSTNINGER  I ALT"	"Total"	13600		
14000	"LOKALEOMKOSTNINGER"	"Overskrift"			
14010	"Husleje lager"	"Drift"			"Køb"
14020	"Forsikring"	"Drift"			
14030	"Reparation og vedligeholdelse"	"Drift"			"Køb"
14299	"LOKALEOMKOSTNINGER  I ALT"	"Total"	14000		
15000	"ADMINISTRATIONSOMKOSTNINGER"	"Overskrift"			
15010	"Telefon og mobiltelefon"	"Drift"			"Køb"
15020	"Kontorartikler"	"Drift"			"Køb"
15030	"Porto og gebyrer"	"Drift"			
15040	"Forsikringer"	"Drift"			
15050	"Kontingenter"	"Drift"			
15060	"Aviser og tidsskrifter"	"Drift"			
15070	"Revision og regnskabsassistance"	"Drift"			"Køb"
15080	"Advokat"	"Drift"			"Køb"
15090	"Edb"	"Drift"			"Køb"
15100	"Småanskaffelser"	"Drift"			"Køb"
15997	"ADMINISTRATIONSOMK. I ALT"	"Total"	15000		
16997	"OMKOSTNINGER I ALT"	"Total"	13500		
17499	"RESULTAT FØR RENTER"	"Total"	10000		
